key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,3,,,,1,
up,0,1,,,,1,
down,1,-5,,,,,1
up,0,2,,,,1,
up,0,3,,,,1,
up,0,-5,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-4,,,,1,
up,0,1,,,,1,
up,1,0,,1,,,
up,0,1,,,,1,
up,0,-3,,,,1,
down,1,2,,,,,1
down,0,0,,,1,,
up,0,-2,,,,1,
down,0,0,,,1,,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,-5,,,,,1
down,1,4,,,,,1
down,0,0,,,1,,
up,1,0,,1,,,
down,0,0,,,1,,
down,0,0,,,,,
down,1,-1,,,,,1
down,1,-4,,,,,1
down,1,3,,,,,1
down,1,-2,,,,,1
down,1,-4,,,,,1
down,1,-2,,,,,1
down,0,0,,,1,,
down,1,3,,,,,1
down,1,-4,,,,,1
up,0,4,,,,1,
down,1,3,,,,,1
down,1,2,,,,,1
down,0,0,,,1,,
down,1,-4,,,,,1
down,0,0,,,1,,
down,1,-3,,,,,1
down,0,0,,,1,,
down,1,1,,,,,1
down,0,0,,,1,,
down,1,3,,,,,1
down,0,0,,,1,,
down,1,-4,,,,,1
down,1,3,,,,,1
down,0,0,,,1,,
up,0,-2,,,,1,
up,0,-2,,,,1,
down,1,-4,,,,,1
down,1,2,,,,,1
down,1,2,,,,,1
down,0,0,,,1,,
down,1,3,,,,,1
down,0,0,,,1,,
down,1,2,,,,,1
down,1,3,,,,,1
up,0,-4,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
down,0,0,,,1,,
down,0,0,,,1,,
up,1,0,,1,,,
up,0,3,,,,1,
down,0,0,,,1,,
down,1,1,,,,,1
down,1,3,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
down,1,-3,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
up,0,4,,,,1,
up,1,0,,1,,,
up,0,-4,,,,1,
down,0,0,,,1,,
down,0,0,,,1,,
down,1,4,,,,,1
down,1,-3,,,,,1
down,0,0,,,1,,
down,1,3,,,,,1
down,1,-3,,,,,1
down,1,4,,,,,1
down,1,2,,,,,1
down,0,0,,,1,,
down,1,2,,,,,1
down,0,0,,,1,,
up,0,3,,,,1,
up,0,-5,,,,1,
down,0,0,,,1,,
down,1,3,,,,,1
down,0,0,,,1,,
down,1,2,,,,,1
down,1,3,,,,,1
down,0,0,,,1,,
down,1,4,,,,,1
down,0,0,,,1,,
up,1,0,,1,,,
down,1,1,,,,,1
down,1,-3,,,,,1
down,0,0,,,1,,
up,0,-2,,,,1,
up,1,0,,1,1,,
down,1,4,,,,,1
down,1,-2,,,,,1
down,1,-5,,,,,1
down,1,2,,,,,1
up,0,-4,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-4,,,,1,
down,1,2,,,,,1
down,0,0,,,1,,
up,0,2,,,,1,
up,0,-2,,,,1,
up,1,0,,1,,,
down,0,0,,,1,,
down,0,0,,,1,,
down,1,3,,,,,1
up,0,3,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,0,,,,,
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
down,1,-4,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,0,,,,,
down,1,-3,,,,,1
up,1,0,,1,,,
up,0,3,,,,1,
down,0,0,,,1,,
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,2,,,,1,
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-1,,,,1,
up,0,-3,,,,,
down,0,0,,,1,1,
down,1,2,,,,,1
up,1,0,,1,,,
down,1,0,,1,,,
down,0,0,,,1,,
down,1,0,,1,,,
down,1,3,,,,,1
down,1,-2,,,,,1
down,1,0,,1,,,
up,0,0,,,1,,
up,1,0,,1,,,
down,0,0,,,1,,
down,1,1,,,,,1
up,0,-4,,,,1,
down,0,0,,,1,,
down,0,0,,,1,,
down,1,0,,1,,,
down,0,0,,,1,,
up,0,3,,,,1,
down,0,0,,,1,,
up,0,-2,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,1,,,,1,
down,0,0,,,1,,
down,1,1,,,,,1
down,0,0,,,,,
up,0,3,,,,1,
up,1,0,,1,,,
up,0,4,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-4,,,,1,
up,1,0,,1,,,
down,1,-3,,,,,1
down,1,0,,1,,,
,,,,,,,
,,,,52,53,36,56
,,,,,,,
,,,prop hit,0.495238095,,,
,,,prp fa,0.391304348,,,
,,,d prime,0.263984455,,,
,,,c,0.14989714,,,
